date,room,time,proj_name_th,proj_name_en,proj_major,proj_advisor,proj_co_advisor,teacher_group,teacher1,teacher2,teacher3,teacher4
15/12/2017,M04,14.50-15.30,ระบบวิเคราะห์วงสวิงกอล์ฟ,Golf Swing Analysis System,Multimedia,ดร.สุภวรรณ ทัศนประเสริฐ,,13,ดร. นล เปรมัษเฐียร,ดร. พรสุรีย์ แจ่มศรี,ดร. สุภวรรณ ทัศนประเสริฐ,อาจารย์ศรีนวล นลินทิพยวงศ์
15/12/2017,M04,15.30-16.10,เว็ปแอพพลิเคชั่นสำหรับการค้นหาผู้ร่วมเล่นกอล์ฟ,Web Application for Golf playing Partner Finder,Multimedia,ดร.สุภวรรณ ทัศนประเสริฐ,,13,ดร. นล เปรมัษเฐียร,ดร. พรสุรีย์ แจ่มศรี,ดร. สุภวรรณ ทัศนประเสริฐ,อาจารย์ศรีนวล นลินทิพยวงศ์
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
ลำดับ,ชื่อโปรเจคภาษาไทย,ชื่อโปรเจคภาษาอังกฤษ,แขนง,อาจารย์ที่ปรึกษา,อาจารย์ที่ปรึกษา(ร่วม)
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
ลำดับ,รายชื่ออาจารย์
1,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช
2,ดร. นล เปรมัษเฐียร
3,ดร. บัณฑิต ฐานะโสภณ
4,ดร. พรสุรีย์ แจ่มศรี
5,ดร. ลภัส ประดิษฐ์ทัศนีย์
6,ดร. สามารถ หมุดและ
7,ดร. สิริอร วิทยากร
8,ดร. สุภวรรณ ทัศนประเสริฐ
9,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา
10,ผศ. ดร. กิติ์สุชาต พสุภา
11,ผศ. ดร. ธนิศา นุ่มนนท์
12,ผศ. ดร. ธีรพงศ์ ลีลานุภาพ
